agency,site,date_time,flow,comments
USGS,shepherdstown,2019-07-01T04:00:00Z,3090,
USGS,shepherdstown,2019-07-02T04:00:00Z,7170,
USGS,lfalls,2019-06-01T04:00:00Z,10600,
USGS,lfalls,2019-06-02T04:00:00Z,9920,
USGS,lfalls,2019-06-03T04:00:00Z,9880,
USGS,lfalls,2019-06-04T04:00:00Z,10200,
USGS,lfalls,2019-06-05T04:00:00Z,9360,
USGS,lfalls,2019-06-06T04:00:00Z,8510,
USGS,lfalls,2019-06-07T04:00:00Z,7790,
USGS,lfalls,2019-06-08T04:00:00Z,7230,
USGS,lfalls,2019-06-09T04:00:00Z,7120,
USGS,lfalls,2019-06-10T04:00:00Z,7120,
USGS,lfalls,2019-06-11T04:00:00Z,6990,
USGS,lfalls,2019-06-12T04:00:00Z,6810,
USGS,lfalls,2019-06-13T04:00:00Z,8460,
USGS,lfalls,2019-06-14T04:00:00Z,10600,
USGS,lfalls,2019-06-15T04:00:00Z,9820,
USGS,lfalls,2019-06-16T04:00:00Z,7740,
USGS,lfalls,2019-06-17T04:00:00Z,6900,
USGS,lfalls,2019-06-18T04:00:00Z,6730,
USGS,lfalls,2019-06-19T04:00:00Z,6360,
USGS,lfalls,2019-06-20T04:00:00Z,6420,
USGS,lfalls,2019-06-21T04:00:00Z,6220,
USGS,lfalls,2019-06-22T04:00:00Z,5880,
USGS,lfalls,2019-06-23T04:00:00Z,7010,
USGS,lfalls,2019-06-24T04:00:00Z,6220,
USGS,lfalls,2019-06-25T04:00:00Z,5960,
USGS,lfalls,2019-06-26T04:00:00Z,5720,
USGS,lfalls,2019-06-27T04:00:00Z,5840,
USGS,lfalls,2019-07-02T04:00:00Z,5510,
USGS,bloomington,2019-06-01T04:00:00Z,408,
USGS,bloomington,2019-06-02T04:00:00Z,124,
USGS,bloomington,2019-06-03T04:00:00Z,124,
USGS,bloomington,2019-06-04T04:00:00Z,82.8,
USGS,bloomington,2019-06-05T04:00:00Z,64.9,
USGS,bloomington,2019-06-06T04:00:00Z,64.9,
